status,pram.total,neg.total,total sampled
CS,127,153,280
CS,24,56,80
HS,198,102,300
CS,62,98,160
CS,2,18,20
HS,176,34,210
HS,61,129,190
HS,486,174,660
HS,213,237,450
HS,226,54,280
CS,40,90,130
CS,105,135,240
CS,111,169,280
HS,202,248,450
CS,86,64,150
,2119,1761,3880
